50 2450
1 2 15400
1 3 10813
1 4 24173
1 5 18369
1 6 13960
1 7 29851
1 8 15131
1 9 17821
1 10 11142
1 11 19253
1 12 4826
1 13 14085
1 14 19366
1 15 29452
1 16 21231
1 17 24371
1 18 27660
1 19 20550
1 20 25661
1 21 918
1 22 31807
1 23 5342
1 24 28450
1 25 12322
1 26 2349
1 27 18330
1 28 5788
1 29 5611
1 30 29039
1 31 14141
1 32 28336
1 33 14322
1 34 11983
1 35 11774
1 36 12812
1 37 23102
1 38 22791
1 39 31034
1 40 31467
1 41 26415
1 42 17868
1 43 6502
1 44 825
1 45 16144
1 46 27147
1 47 11847
1 48 12279
1 49 9707
1 50 24691
2 1 29541
2 3 27618
2 4 17313
2 5 14643
2 6 24765
2 7 5455
2 8 27193
2 9 30469
2 10 17334
2 11 858
2 12 5753
2 13 23915
2 14 25686
2 15 26175
2 16 24243
2 17 29752
2 18 2742
2 19 1800
2 20 17378
2 21 25683
2 22 30899
2 23 10857
2 24 6390
2 25 4536
2 26 11239
2 27 6888
2 28 29803
2 29 5823
2 30 31704
2 31 7744
2 32 24608
2 33 1185
2 34 26734
2 35 23048
2 36 15207
2 37 3384
2 38 11435
2 39 27536
2 40 856
2 41 31238
2 42 27030
2 43 14092
2 44 30060
2 45 5241
2 46 32120
2 47 12788
2 48 16455
2 49 25453
2 50 23371
3 1 11434
3 2 14036
3 4 25075
3 5 30320
3 6 24414
3 7 14743
3 8 4945
3 9 5792
3 10 15919
3 11 19007
3 12 6218
3 13 10277
3 14 22674
3 15 32123
3 16 10655
3 17 23626
3 18 18424
3 19 16143
3 20 7125
3 21 11792
3 22 29099
3 23 7207
3 24 20537
3 25 7970
3 26 8185
3 27 2027
3 28 14114
3 29 16651
3 30 13973
3 31 20051
3 32 18294
3 33 24231
3 34 1594
3 35 10557
3 36 3951
3 37 22999
3 38 913
3 39 11197
3 40 17055
3 41 4473
3 42 25941
3 43 30644
3 44 26930
3 45 25496
3 46 28085
3 47 29092
3 48 5236
3 49 8159
3 50 25338
4 1 26306
4 2 15507
4 3 32340
4 5 31593
4 6 22861
4 7 11173
4 8 28227
4 9 16491
4 10 26399
4 11 6636
4 12 20855
4 13 11499
4 14 32386
4 15 24409
4 16 30640
4 17 2816
4 18 21828
4 19 24144
4 20 28242
4 21 21708
4 22 22030
4 23 2987
4 24 30811
4 25 7332
4 26 30705
4 27 14337
4 28 17047
4 29 16496
4 30 13378
4 31 32296
4 32 10263
4 33 27733
4 34 3752
4 35 31480
4 36 6879
4 37 12434
4 38 25459
4 39 12882
4 40 1247
4 41 11944
4 42 28719
4 43 17761
4 44 13605
4 45 8638
4 46 19065
4 47 24096
4 48 11600
4 49 17987
4 50 14610
5 1 29725
5 2 25416
5 3 25813
5 4 9010
5 6 20092
5 7 19244
5 8 1122
5 9 2591
5 10 26430
5 11 15756
5 12 1933
5 13 16637
5 14 5060
5 15 3545
5 16 14675
5 17 22248
5 18 5774
5 19 25881
5 20 3310
5 21 26432
5 22 32329
5 23 13535
5 24 5369
5 25 17476
5 26 30217
5 27 22139
5 28 30166
5 29 12259
5 30 27347
5 31 10862
5 32 22349
5 33 5838
5 34 10846
5 35 19489
5 36 6517
5 37 466
5 38 24346
5 39 11734
5 40 20696
5 41 12645
5 42 3442
5 43 12510
5 44 19922
5 45 6015
5 46 30286
5 47 3596
5 48 13114
5 49 9131
5 50 733
6 1 8811
6 2 24644
6 3 5469
6 4 7569
6 5 29740
6 7 12710
6 8 18566
6 9 7275
6 10 994
6 11 24058
6 12 12390
6 13 8312
6 14 15858
6 15 29028
6 16 29857
6 17 3740
6 18 8260
6 19 11380
6 20 25750
6 21 1422
6 22 26687
6 23 19022
6 24 13548
6 25 29988
6 26 23797
6 27 29192
6 28 15213
6 29 15057
6 30 2458
6 31 22355
6 32 7448
6 33 26476
6 34 31803
6 35 20062
6 36 8817
6 37 4658
6 38 23724
6 39 22263
6 40 9756
6 41 23823
6 42 28611
6 43 25332
6 44 20906
6 45 3609
6 46 23235
6 47 23505
6 48 7347
6 49 25181
6 50 15131
7 1 11162
7 2 16933
7 3 32223
7 4 26193
7 5 19723
7 6 8155
7 8 7388
7 9 26169
7 10 9975
7 11 13426
7 12 27218
7 13 1386
7 14 14054
7 15 12120
7 16 8131
7 17 32754
7 18 20226
7 19 18213
7 20 21045
7 21 11337
7 22 27444
7 23 18991
7 24 4221
7 25 12420
7 26 24970
7 27 7512
7 28 14013
7 29 6091
7 30 29148
7 31 7467
7 32 6956
7 33 23565
7 34 30895
7 35 5416
7 36 30741
7 37 14322
7 38 18777
7 39 16731
7 40 14115
7 41 21778
7 42 29542
7 43 3636
7 44 475
7 45 10852
7 46 30523
7 47 2706
7 48 15210
7 49 7929
7 50 11769
8 1 16417
8 2 18337
8 3 17642
8 4 26788
8 5 26086
8 6 17214
8 7 16527
8 9 2693
8 10 8472
8 11 4461
8 12 12273
8 13 8908
8 14 18482
8 15 25230
8 16 9858
8 17 18810
8 18 23622
8 19 6201
8 20 4364
8 21 17278
8 22 11412
8 23 10879
8 24 5608
8 25 12830
8 26 22619
8 27 29299
8 28 17776
8 29 20889
8 30 8943
8 31 32234
8 32 11958
8 33 2827
8 34 19980
8 35 20606
8 36 11383
8 37 23952
8 38 28266
8 39 13785
8 40 32330
8 41 25260
8 42 28305
8 43 2352
8 44 541
8 45 29163
8 46 13295
8 47 5645
8 48 8674
8 49 10180
8 50 6696
9 1 30290
9 2 18822
9 3 21443
9 4 14509
9 5 4475
9 6 31011
9 7 4584
9 8 9872
9 10 8483
9 11 18294
9 12 4938
9 13 12439
9 14 24265
9 15 26771
9 16 23039
9 17 13711
9 18 16085
9 19 3287
9 20 27712
9 21 7394
9 22 23766
9 23 11295
9 24 17097
9 25 7020
9 26 32014
9 27 4407
9 28 30335
9 29 14987
9 30 18224
9 31 14742
9 32 29013
9 33 21877
